season,round,driver,driver_points,driver_wins,driver_standings_pos
2018,16,hamilton,306.0,8,1
2018,16,vettel,256.0,5,2
2018,16,bottas,189.0,0,3
2018,16,raikkonen,186.0,0,4
2018,16,max_verstappen,158.0,1,5
2018,16,ricciardo,134.0,2,6
2018,16,kevin_magnussen,53.0,0,7
2018,16,hulkenberg,53.0,0,8
2018,16,alonso,50.0,0,9
2018,16,perez,47.0,0,10
2018,16,ocon,47.0,0,11
2018,16,sainz,38.0,0,12
2018,16,gasly,28.0,0,13
2018,16,grosjean,27.0,0,14
2018,16,leclerc,21.0,0,15
2018,16,vandoorne,8.0,0,16
2018,16,stroll,6.0,0,17
2018,16,ericsson,6.0,0,18
2018,16,brendon_hartley,2.0,0,19
2018,16,sirotkin,1.0,0,20
2018,17,hamilton,331.0,9,1
2018,17,vettel,264.0,5,2
2018,17,bottas,207.0,0,3
2018,17,raikkonen,196.0,0,4
2018,17,max_verstappen,173.0,1,5
2018,17,ricciardo,146.0,2,6
2018,17,perez,53.0,0,7
2018,17,kevin_magnussen,53.0,0,8
2018,17,hulkenberg,53.0,0,9
2018,17,alonso,50.0,0,10
2018,17,ocon,49.0,0,11
2018,17,sainz,39.0,0,12
2018,17,grosjean,31.0,0,13
2018,17,gasly,28.0,0,14
2018,17,leclerc,21.0,0,15
2018,17,vandoorne,8.0,0,16
2018,17,stroll,6.0,0,17
2018,17,ericsson,6.0,0,18
2018,17,brendon_hartley,2.0,0,19
2018,17,sirotkin,1.0,0,20
2018,18,hamilton,346.0,9,1
2018,18,vettel,276.0,5,2
2018,18,raikkonen,221.0,1,3
2018,18,bottas,217.0,0,4
2018,18,max_verstappen,191.0,1,5
2018,18,ricciardo,146.0,2,6
2018,18,hulkenberg,61.0,0,7
2018,18,perez,57.0,0,8
2018,18,kevin_magnussen,53.0,0,9
2018,18,alonso,50.0,0,10
2018,18,ocon,49.0,0,11
2018,18,sainz,45.0,0,12
2018,18,grosjean,31.0,0,13
2018,18,gasly,28.0,0,14
2018,18,leclerc,21.0,0,15
2018,18,vandoorne,8.0,0,16
2018,18,ericsson,7.0,0,17
2018,18,stroll,6.0,0,18
2018,18,brendon_hartley,4.0,0,19
2018,18,sirotkin,1.0,0,20
2018,19,hamilton,358.0,9,1
2018,19,vettel,294.0,5,2
2018,19,raikkonen,236.0,1,3
2018,19,bottas,227.0,0,4
2018,19,max_verstappen,216.0,2,5
2018,19,ricciardo,146.0,2,6
2018,19,hulkenberg,69.0,0,7
2018,19,perez,57.0,0,8
2018,19,kevin_magnussen,53.0,0,9
2018,19,alonso,50.0,0,10
2018,19,ocon,49.0,0,11
2018,19,sainz,45.0,0,12
2018,19,grosjean,31.0,0,13
2018,19,gasly,29.0,0,14
2018,19,leclerc,27.0,0,15
2018,19,vandoorne,12.0,0,16
2018,19,ericsson,9.0,0,17
2018,19,stroll,6.0,0,18
2018,19,brendon_hartley,4.0,0,19
2018,19,sirotkin,1.0,0,20
2018,20,hamilton,383.0,10,1
2018,20,vettel,302.0,5,2
2018,20,raikkonen,251.0,1,3
2018,20,bottas,237.0,0,4
2018,20,max_verstappen,234.0,2,5
2018,20,ricciardo,158.0,2,6
2018,20,hulkenberg,69.0,0,7
2018,20,perez,58.0,0,8
2018,20,kevin_magnussen,55.0,0,9
2018,20,alonso,50.0,0,10
2018,20,ocon,49.0,0,11
2018,20,sainz,45.0,0,12
2018,20,grosjean,35.0,0,13
2018,20,leclerc,33.0,0,14
2018,20,gasly,29.0,0,15
2018,20,vandoorne,12.0,0,16
2018,20,ericsson,9.0,0,17
2018,20,stroll,6.0,0,18
2018,20,brendon_hartley,4.0,0,19
2018,20,sirotkin,1.0,0,20
2018,21,hamilton,408.0,11,1
2018,21,vettel,320.0,5,2
2018,21,raikkonen,251.0,1,3
2018,21,max_verstappen,249.0,2,4
2018,21,bottas,247.0,0,5
2018,21,ricciardo,170.0,2,6
2018,21,hulkenberg,69.0,0,7
2018,21,perez,62.0,0,8
2018,21,kevin_magnussen,56.0,0,9
2018,21,sainz,53.0,0,10
2018,21,alonso,50.0,0,11
2018,21,ocon,49.0,0,12
2018,21,leclerc,39.0,0,13
2018,21,grosjean,37.0,0,14
2018,21,gasly,29.0,0,15
2018,21,vandoorne,12.0,0,16
2018,21,ericsson,9.0,0,17
2018,21,stroll,6.0,0,18
2018,21,brendon_hartley,4.0,0,19
2018,21,sirotkin,1.0,0,20
2019,1,bottas,26.0,1,1
2019,1,hamilton,18.0,0,2
2019,1,max_verstappen,15.0,0,3
2019,1,vettel,12.0,0,4
2019,1,leclerc,10.0,0,5
2019,1,kevin_magnussen,8.0,0,6
2019,1,hulkenberg,6.0,0,7
2019,1,raikkonen,4.0,0,8
2019,1,stroll,2.0,0,9
2019,1,kvyat,1.0,0,10
2019,1,gasly,0.0,0,11
2019,1,norris,0.0,0,12
2019,1,perez,0.0,0,13
2019,1,albon,0.0,0,14
2019,1,giovinazzi,0.0,0,15
2019,1,russell,0.0,0,16
2019,1,kubica,0.0,0,17
2019,1,grosjean,0.0,0,18
2019,1,ricciardo,0.0,0,19
2019,1,sainz,0.0,0,20
2019,2,bottas,44.0,1,1
2019,2,hamilton,43.0,1,2
2019,2,max_verstappen,27.0,0,3
2019,2,leclerc,26.0,0,4
2019,2,vettel,22.0,0,5
2019,2,raikkonen,10.0,0,6
2019,2,norris,8.0,0,7
2019,2,kevin_magnussen,8.0,0,8
2019,2,hulkenberg,6.0,0,9
2019,2,gasly,4.0,0,10
2019,2,albon,2.0,0,11
2019,2,stroll,2.0,0,12
2019,2,kvyat,1.0,0,13
2019,2,perez,1.0,0,14
2019,2,giovinazzi,0.0,0,15
2019,2,russell,0.0,0,16
2019,2,kubica,0.0,0,17
2019,2,ricciardo,0.0,0,18
2019,2,grosjean,0.0,0,19
2019,2,sainz,0.0,0,20
2019,3,hamilton,68.0,2,1
2019,3,bottas,62.0,1,2
2019,3,max_verstappen,39.0,0,3
2019,3,vettel,37.0,0,4
2019,3,leclerc,36.0,0,5
2019,3,gasly,13.0,0,6
2019,3,raikkonen,12.0,0,7
2019,3,norris,8.0,0,8
2019,3,kevin_magnussen,8.0,0,9
2019,3,hulkenberg,6.0,0,10
2019,3,ricciardo,6.0,0,11
2019,3,perez,5.0,0,12
2019,3,albon,3.0,0,13
2019,3,stroll,2.0,0,14
2019,3,kvyat,1.0,0,15
2019,3,giovinazzi,0.0,0,16
2019,3,grosjean,0.0,0,17
2019,3,sainz,0.0,0,18
2019,3,russell,0.0,0,19
2019,3,kubica,0.0,0,20
2019,4,bottas,87.0,2,1
2019,4,hamilton,86.0,2,2
2019,4,vettel,52.0,0,3
2019,4,max_verstappen,51.0,0,4
2019,4,leclerc,47.0,0,5
2019,4,perez,13.0,0,6
2019,4,gasly,13.0,0,7
2019,4,raikkonen,13.0,0,8
2019,4,norris,12.0,0,9
2019,4,kevin_magnussen,8.0,0,10
2019,4,hulkenberg,6.0,0,11
2019,4,sainz,6.0,0,12
2019,4,ricciardo,6.0,0,13
2019,4,stroll,4.0,0,14
2019,4,albon,3.0,0,15
2019,4,kvyat,1.0,0,16
2019,4,giovinazzi,0.0,0,17
2019,4,grosjean,0.0,0,18
2019,4,russell,0.0,0,19
2019,4,kubica,0.0,0,20
2019,5,hamilton,112.0,3,1
2019,5,bottas,105.0,2,2
2019,5,max_verstappen,66.0,0,3
2019,5,vettel,64.0,0,4
2019,5,leclerc,57.0,0,5
2019,5,gasly,21.0,0,6
2019,5,kevin_magnussen,14.0,0,7
2019,5,perez,13.0,0,8
2019,5,raikkonen,13.0,0,9
2019,5,norris,12.0,0,10
2019,5,sainz,10.0,0,11
2019,5,ricciardo,6.0,0,12
2019,5,hulkenberg,6.0,0,13
2019,5,stroll,4.0,0,14
2019,5,albon,3.0,0,15
2019,5,kvyat,3.0,0,16
2019,5,grosjean,1.0,0,17
2019,5,giovinazzi,0.0,0,18
2019,5,russell,0.0,0,19
2019,5,kubica,0.0,0,20
2019,6,hamilton,137.0,4,1
2019,6,bottas,120.0,2,2
2019,6,vettel,82.0,0,3
2019,6,max_verstappen,78.0,0,4
2019,6,leclerc,57.0,0,5
2019,6,gasly,32.0,0,6
2019,6,sainz,18.0,0,7
2019,6,kevin_magnussen,14.0,0,8
2019,6,perez,13.0,0,9
2019,6,raikkonen,13.0,0,10
2019,6,norris,12.0,0,11
2019,6,kvyat,9.0,0,12
2019,6,ricciardo,8.0,0,13
2019,6,albon,7.0,0,14
2019,6,hulkenberg,6.0,0,15
2019,6,stroll,4.0,0,16
2019,6,grosjean,2.0,0,17
2019,6,giovinazzi,0.0,0,18
2019,6,russell,0.0,0,19
2019,6,kubica,0.0,0,20
2019,7,hamilton,162.0,5,1
2019,7,bottas,133.0,2,2
2019,7,vettel,100.0,0,3
2019,7,max_verstappen,88.0,0,4
2019,7,leclerc,72.0,0,5
2019,7,gasly,36.0,0,6
2019,7,sainz,18.0,0,7
2019,7,ricciardo,16.0,0,8
2019,7,kevin_magnussen,14.0,0,9
2019,7,perez,13.0,0,10
2019,7,raikkonen,13.0,0,11
2019,7,norris,12.0,0,12
2019,7,hulkenberg,12.0,0,13
2019,7,kvyat,10.0,0,14
2019,7,albon,7.0,0,15
2019,7,stroll,6.0,0,16
2019,7,grosjean,2.0,0,17
2019,7,giovinazzi,0.0,0,18
2019,7,russell,0.0,0,19
2019,7,kubica,0.0,0,20
2019,8,hamilton,187.0,6,1
2019,8,bottas,151.0,2,2
2019,8,vettel,111.0,0,3
2019,8,max_verstappen,100.0,0,4
2019,8,leclerc,87.0,0,5
2019,8,gasly,37.0,0,6
2019,8,sainz,26.0,0,7
2019,8,raikkonen,19.0,0,8
2019,8,ricciardo,16.0,0,9
2019,8,hulkenberg,16.0,0,10
2019,8,kevin_magnussen,14.0,0,11
2019,8,norris,14.0,0,12
2019,8,perez,13.0,0,13
2019,8,kvyat,10.0,0,14
2019,8,albon,7.0,0,15
2019,8,stroll,6.0,0,16
2019,8,grosjean,2.0,0,17
2019,8,giovinazzi,0.0,0,18
2019,8,russell,0.0,0,19
2019,8,kubica,0.0,0,20
2019,9,hamilton,197.0,6,1
2019,9,bottas,166.0,2,2
2019,9,max_verstappen,126.0,1,3
2019,9,vettel,123.0,0,4
2019,9,leclerc,105.0,0,5
2019,9,gasly,43.0,0,6
2019,9,sainz,30.0,0,7
2019,9,norris,22.0,0,8
2019,9,raikkonen,21.0,0,9
2019,9,ricciardo,16.0,0,10
2019,9,hulkenberg,16.0,0,11
2019,9,kevin_magnussen,14.0,0,12
2019,9,perez,13.0,0,13
2019,9,kvyat,10.0,0,14
2019,9,albon,7.0,0,15
2019,9,stroll,6.0,0,16
2019,9,grosjean,2.0,0,17
2019,9,giovinazzi,1.0,0,18
2019,9,russell,0.0,0,19
2019,9,kubica,0.0,0,20
2019,10,hamilton,223.0,7,1
2019,10,bottas,184.0,2,2
2019,10,max_verstappen,136.0,1,3
2019,10,vettel,123.0,0,4
2019,10,leclerc,120.0,0,5
2019,10,gasly,55.0,0,6
2019,10,sainz,38.0,0,7
2019,10,raikkonen,25.0,0,8
2019,10,norris,22.0,0,9
2019,10,ricciardo,22.0,0,10
2019,10,hulkenberg,17.0,0,11
2019,10,kevin_magnussen,14.0,0,12
2019,10,perez,13.0,0,13
2019,10,kvyat,12.0,0,14
2019,10,albon,7.0,0,15
2019,10,stroll,6.0,0,16
2019,10,grosjean,2.0,0,17
2019,10,giovinazzi,1.0,0,18
2019,10,russell,0.0,0,19
2019,10,kubica,0.0,0,20
2019,11,hamilton,225.0,7,1
2019,11,bottas,184.0,2,2
2019,11,max_verstappen,162.0,2,3
2019,11,vettel,141.0,0,4
2019,11,leclerc,120.0,0,5
2019,11,gasly,55.0,0,6
2019,11,sainz,48.0,0,7
2019,11,kvyat,27.0,0,8
2019,11,raikkonen,25.0,0,9
2019,11,norris,22.0,0,10
2019,11,ricciardo,22.0,0,11
2019,11,stroll,18.0,0,12
2019,11,kevin_magnussen,18.0,0,13
2019,11,hulkenberg,17.0,0,14
2019,11,albon,15.0,0,15
2019,11,perez,13.0,0,16
2019,11,grosjean,8.0,0,17
2019,11,giovinazzi,1.0,0,18
2019,11,kubica,1.0,0,19
2019,11,russell,0.0,0,20
2019,12,hamilton,250.0,8,1
2019,12,bottas,188.0,2,2
2019,12,max_verstappen,181.0,2,3
2019,12,vettel,156.0,0,4
2019,12,leclerc,132.0,0,5
2019,12,gasly,63.0,0,6
2019,12,sainz,58.0,0,7
2019,12,raikkonen,31.0,0,8
2019,12,kvyat,27.0,0,9
2019,12,norris,24.0,0,10
2019,12,ricciardo,22.0,0,11
2019,12,stroll,18.0,0,12
2019,12,kevin_magnussen,18.0,0,13
2019,12,hulkenberg,17.0,0,14
2019,12,albon,16.0,0,15
2019,12,perez,13.0,0,16
2019,12,grosjean,8.0,0,17
2019,12,giovinazzi,1.0,0,18
2019,12,kubica,1.0,0,19
2019,12,russell,0.0,0,20
2019,13,hamilton,268.0,8,1
2019,13,bottas,203.0,2,2
2019,13,max_verstappen,181.0,2,3
2019,13,vettel,169.0,0,4
2019,13,leclerc,157.0,1,5
2019,13,gasly,65.0,0,6
2019,13,sainz,58.0,0,7
2019,13,kvyat,33.0,0,8
2019,13,raikkonen,31.0,0,9
2019,13,albon,26.0,0,10
2019,13,norris,24.0,0,11
2019,13,ricciardo,22.0,0,12
2019,13,perez,21.0,0,13
2019,13,hulkenberg,21.0,0,14
2019,13,stroll,19.0,0,15
2019,13,kevin_magnussen,18.0,0,16
2019,13,grosjean,8.0,0,17
2019,13,giovinazzi,1.0,0,18
2019,13,kubica,1.0,0,19
2019,13,russell,0.0,0,20
2019,14,hamilton,284.0,8,1
2019,14,bottas,221.0,2,2
2019,14,max_verstappen,185.0,2,3
2019,14,leclerc,182.0,2,4
2019,14,vettel,169.0,0,5
2019,14,gasly,65.0,0,6
2019,14,sainz,58.0,0,7
2019,14,ricciardo,34.0,0,8
2019,14,albon,34.0,0,9
2019,14,kvyat,33.0,0,10
2019,14,hulkenberg,31.0,0,11
2019,14,raikkonen,31.0,0,12
2019,14,perez,27.0,0,13
2019,14,norris,25.0,0,14
2019,14,stroll,19.0,0,15
2019,14,kevin_magnussen,18.0,0,16
2019,14,grosjean,8.0,0,17
2019,14,giovinazzi,3.0,0,18
2019,14,kubica,1.0,0,19
2019,14,russell,0.0,0,20
2019,15,hamilton,296.0,8,1
2019,15,bottas,231.0,2,2
2019,15,leclerc,200.0,2,3
2019,15,max_verstappen,200.0,2,4
2019,15,vettel,194.0,1,5
2019,15,gasly,69.0,0,6
2019,15,sainz,58.0,0,7
2019,15,albon,42.0,0,8
2019,15,ricciardo,34.0,0,9
2019,15,kvyat,33.0,0,10
2019,15,hulkenberg,33.0,0,11
2019,15,norris,31.0,0,12
2019,15,raikkonen,31.0,0,13
2019,15,perez,27.0,0,14
2019,15,stroll,19.0,0,15
2019,15,kevin_magnussen,18.0,0,16
2019,15,grosjean,8.0,0,17
2019,15,giovinazzi,4.0,0,18
2019,15,kubica,1.0,0,19
2019,15,russell,0.0,0,20
2019,16,hamilton,322.0,9,1
2019,16,bottas,249.0,2,2
2019,16,leclerc,215.0,2,3
2019,16,max_verstappen,212.0,2,4
2019,16,vettel,194.0,1,5
2019,16,gasly,69.0,0,6
2019,16,sainz,66.0,0,7
2019,16,albon,52.0,0,8
2019,16,norris,35.0,0,9
2019,16,ricciardo,34.0,0,10
2019,16,hulkenberg,34.0,0,11
2019,16,kvyat,33.0,0,12
2019,16,perez,33.0,0,13
2019,16,raikkonen,31.0,0,14
2019,16,kevin_magnussen,20.0,0,15
2019,16,stroll,19.0,0,16
2019,16,grosjean,8.0,0,17
2019,16,giovinazzi,4.0,0,18
2019,16,kubica,1.0,0,19
2019,16,russell,0.0,0,20
2019,17,hamilton,338.0,9,1
2019,17,bottas,274.0,3,2
2019,17,leclerc,223.0,2,3
2019,17,max_verstappen,212.0,2,4
2019,17,vettel,212.0,1,5
2019,17,sainz,76.0,0,6
2019,17,gasly,75.0,0,7
2019,17,albon,64.0,0,8
2019,17,perez,37.0,0,9
2019,17,norris,35.0,0,10
2019,17,kvyat,34.0,0,11
2019,17,ricciardo,34.0,0,12
2019,17,hulkenberg,34.0,0,13
2019,17,raikkonen,31.0,0,14
2019,17,stroll,21.0,0,15
2019,17,kevin_magnussen,20.0,0,16
2019,17,grosjean,8.0,0,17
2019,17,giovinazzi,4.0,0,18
2019,17,kubica,1.0,0,19
2019,17,russell,0.0,0,20
2019,18,hamilton,363.0,10,1
2019,18,bottas,289.0,3,2
2019,18,leclerc,236.0,2,3
2019,18,vettel,230.0,1,4
2019,18,max_verstappen,220.0,2,5
2019,18,gasly,77.0,0,6
2019,18,sainz,76.0,0,7
2019,18,albon,74.0,0,8
2019,18,perez,43.0,0,9
2019,18,ricciardo,38.0,0,10
2019,18,hulkenberg,35.0,0,11
2019,18,norris,35.0,0,12
2019,18,kvyat,34.0,0,13
2019,18,raikkonen,31.0,0,14
2019,18,stroll,21.0,0,15
2019,18,kevin_magnussen,20.0,0,16
2019,18,grosjean,8.0,0,17
2019,18,giovinazzi,4.0,0,18
2019,18,kubica,1.0,0,19
2019,18,russell,0.0,0,20
2019,19,hamilton,381.0,10,1
2019,19,bottas,314.0,4,2
2019,19,leclerc,249.0,2,3
2019,19,max_verstappen,235.0,2,4
2019,19,vettel,230.0,1,5
2019,19,albon,84.0,0,6
2019,19,sainz,80.0,0,7
2019,19,gasly,77.0,0,8
2019,19,ricciardo,46.0,0,9
2019,19,perez,44.0,0,10
2019,19,norris,41.0,0,11
2019,19,hulkenberg,37.0,0,12
2019,19,kvyat,34.0,0,13
2019,19,raikkonen,31.0,0,14
2019,19,stroll,21.0,0,15
2019,19,kevin_magnussen,20.0,0,16
2019,19,grosjean,8.0,0,17
2019,19,giovinazzi,4.0,0,18
2019,19,kubica,1.0,0,19
2019,19,russell,0.0,0,20
2019,20,hamilton,387.0,10,1
2019,20,bottas,314.0,4,2
2019,20,max_verstappen,260.0,3,3
2019,20,leclerc,249.0,2,4
2019,20,vettel,230.0,1,5
2019,20,gasly,95.0,0,6
2019,20,sainz,95.0,0,7
2019,20,albon,84.0,0,8
2019,20,ricciardo,54.0,0,9
2019,20,perez,46.0,0,10
2019,20,norris,45.0,0,11
2019,20,raikkonen,43.0,0,12
2019,20,hulkenberg,37.0,0,13
2019,20,kvyat,35.0,0,14
2019,20,stroll,21.0,0,15
2019,20,kevin_magnussen,20.0,0,16
2019,20,giovinazzi,14.0,0,17
2019,20,grosjean,8.0,0,18
2019,20,kubica,1.0,0,19
2019,20,russell,0.0,0,20
2019,21,hamilton,413.0,11,1
2019,21,bottas,326.0,4,2
2019,21,max_verstappen,278.0,3,3
2019,21,leclerc,264.0,2,4
2019,21,vettel,240.0,1,5
2019,21,sainz,96.0,0,6
2019,21,gasly,95.0,0,7
2019,21,albon,92.0,0,8
2019,21,ricciardo,54.0,0,9
2019,21,perez,52.0,0,10
2019,21,norris,49.0,0,11
2019,21,raikkonen,43.0,0,12
2019,21,kvyat,37.0,0,13
2019,21,hulkenberg,37.0,0,14
2019,21,stroll,21.0,0,15
2019,21,kevin_magnussen,20.0,0,16
2019,21,giovinazzi,14.0,0,17
2019,21,grosjean,8.0,0,18
2019,21,kubica,1.0,0,19
2019,21,russell,0.0,0,20
2020,1,bottas,25.0,1,1
2020,1,leclerc,18.0,0,2
2020,1,norris,16.0,0,3
2020,1,hamilton,12.0,0,4
2020,1,sainz,10.0,0,5
2020,1,perez,8.0,0,6
2020,1,gasly,6.0,0,7
2020,1,ocon,4.0,0,8
2020,1,giovinazzi,2.0,0,9
2020,1,vettel,1.0,0,10
2020,1,latifi,0.0,0,11
2020,1,kvyat,0.0,0,12
2020,1,albon,0.0,0,13
2020,1,raikkonen,0.0,0,14
2020,1,russell,0.0,0,15
2020,1,grosjean,0.0,0,16
2020,1,kevin_magnussen,0.0,0,17
2020,1,stroll,0.0,0,18
2020,1,ricciardo,0.0,0,19
2020,1,max_verstappen,0.0,0,20
2020,2,bottas,43.0,1,1
2020,2,hamilton,37.0,1,2
2020,2,norris,26.0,0,3
2020,2,leclerc,18.0,0,4
2020,2,perez,16.0,0,5
2020,2,max_verstappen,15.0,0,6
2020,2,sainz,13.0,0,7
2020,2,albon,12.0,0,8
2020,2,gasly,6.0,0,9
2020,2,stroll,6.0,0,10
2020,2,ocon,4.0,0,11
2020,2,ricciardo,4.0,0,12
2020,2,giovinazzi,2.0,0,13
2020,2,kvyat,1.0,0,14
2020,2,vettel,1.0,0,15
2020,2,latifi,0.0,0,16
2020,2,raikkonen,0.0,0,17
2020,2,kevin_magnussen,0.0,0,18
2020,2,grosjean,0.0,0,19
2020,2,russell,0.0,0,20
2020,3,hamilton,63.0,2,1
2020,3,bottas,58.0,1,2
2020,3,max_verstappen,33.0,0,3
2020,3,norris,26.0,0,4
2020,3,albon,22.0,0,5
2020,3,perez,22.0,0,6
2020,3,leclerc,18.0,0,7
2020,3,stroll,18.0,0,8
2020,3,sainz,15.0,0,9
2020,3,vettel,9.0,0,10
2020,3,ricciardo,8.0,0,11
2020,3,gasly,6.0,0,12
2020,3,ocon,4.0,0,13
2020,3,giovinazzi,2.0,0,14
2020,3,kvyat,1.0,0,15
2020,3,kevin_magnussen,1.0,0,16
2020,3,raikkonen,0.0,0,17
2020,3,latifi,0.0,0,18
2020,3,grosjean,0.0,0,19
2020,3,russell,0.0,0,20
2020,4,hamilton,88.0,3,1
2020,4,bottas,58.0,1,2
2020,4,max_verstappen,52.0,0,3
2020,4,norris,36.0,0,4
2020,4,leclerc,33.0,0,5
2020,4,albon,26.0,0,6
2020,4,perez,22.0,0,7
2020,4,stroll,20.0,0,8
2020,4,ricciardo,20.0,0,9
2020,4,sainz,15.0,0,10
2020,4,ocon,12.0,0,11
2020,4,gasly,12.0,0,12
2020,4,vettel,10.0,0,13
2020,4,giovinazzi,2.0,0,14
2020,4,kvyat,1.0,0,15
2020,4,kevin_magnussen,1.0,0,16
2020,4,latifi,0.0,0,17
2020,4,raikkonen,0.0,0,18
2020,4,russell,0.0,0,19
2020,4,grosjean,0.0,0,20
2020,4,hulkenberg,0.0,0,21
2020,5,hamilton,107.0,3,1
2020,5,max_verstappen,77.0,1,2
2020,5,bottas,73.0,1,3
2020,5,leclerc,45.0,0,4
2020,5,norris,38.0,0,5
2020,5,albon,36.0,0,6
2020,5,stroll,28.0,0,7
2020,5,perez,22.0,0,8
2020,5,ricciardo,20.0,0,9
2020,5,ocon,16.0,0,10
2020,5,sainz,15.0,0,11
2020,5,gasly,12.0,0,12
2020,5,vettel,10.0,0,13
2020,5,hulkenberg,6.0,0,14
2020,5,giovinazzi,2.0,0,15
2020,5,kvyat,2.0,0,16
2020,5,kevin_magnussen,1.0,0,17
2020,5,raikkonen,0.0,0,18
2020,5,latifi,0.0,0,19
2020,5,russell,0.0,0,20
2020,5,grosjean,0.0,0,21
2020,6,hamilton,132.0,4,1
2020,6,max_verstappen,95.0,1,2
2020,6,bottas,89.0,1,3
2020,6,leclerc,45.0,0,4
2020,6,stroll,40.0,0,5
2020,6,albon,40.0,0,6
2020,6,norris,39.0,0,7
2020,6,perez,32.0,0,8
2020,6,sainz,23.0,0,9
2020,6,ricciardo,20.0,0,10
2020,6,vettel,16.0,0,11
2020,6,ocon,16.0,0,12
2020,6,gasly,14.0,0,13
2020,6,hulkenberg,6.0,0,14
2020,6,giovinazzi,2.0,0,15
2020,6,kvyat,2.0,0,16
2020,6,kevin_magnussen,1.0,0,17
2020,6,raikkonen,0.0,0,18
2020,6,latifi,0.0,0,19
2020,6,russell,0.0,0,20
2020,6,grosjean,0.0,0,21
2020,7,hamilton,157.0,5,1
2020,7,max_verstappen,110.0,1,2
2020,7,bottas,107.0,1,3
2020,7,albon,48.0,0,4
2020,7,leclerc,45.0,0,5
2020,7,norris,45.0,0,6
2020,7,stroll,42.0,0,7
2020,7,ricciardo,33.0,0,8
2020,7,perez,33.0,0,9
2020,7,ocon,26.0,0,10
2020,7,sainz,23.0,0,11
2020,7,gasly,18.0,0,12
2020,7,vettel,16.0,0,13
2020,7,hulkenberg,6.0,0,14
2020,7,giovinazzi,2.0,0,15
2020,7,kvyat,2.0,0,16
2020,7,kevin_magnussen,1.0,0,17
2020,7,raikkonen,0.0,0,18
2020,7,latifi,0.0,0,19
2020,7,russell,0.0,0,20
2020,7,grosjean,0.0,0,21
2020,8,hamilton,164.0,5,1
2020,8,bottas,117.0,1,2
2020,8,max_verstappen,110.0,1,3
2020,8,stroll,57.0,0,4
2020,8,norris,57.0,0,5
2020,8,albon,48.0,0,6
2020,8,leclerc,45.0,0,7
2020,8,gasly,43.0,1,8
2020,8,sainz,41.0,0,9
2020,8,ricciardo,41.0,0,10
2020,8,perez,34.0,0,11
2020,8,ocon,30.0,0,12
2020,8,vettel,16.0,0,13
2020,8,hulkenberg,6.0,0,14
2020,8,kvyat,4.0,0,15
2020,8,giovinazzi,2.0,0,16
2020,8,kevin_magnussen,1.0,0,17
2020,8,latifi,0.0,0,18
2020,8,raikkonen,0.0,0,19
2020,8,grosjean,0.0,0,20
2020,8,russell,0.0,0,21
2020,9,hamilton,190.0,6,1
2020,9,bottas,135.0,1,2
2020,9,max_verstappen,110.0,1,3
2020,9,norris,65.0,0,4
2020,9,albon,63.0,0,5
2020,9,stroll,57.0,0,6
2020,9,ricciardo,53.0,0,7
2020,9,leclerc,49.0,0,8
2020,9,perez,44.0,0,9
2020,9,gasly,43.0,1,10
2020,9,sainz,41.0,0,11
2020,9,ocon,30.0,0,12
2020,9,vettel,17.0,0,13
2020,9,kvyat,10.0,0,14
2020,9,hulkenberg,6.0,0,15
2020,9,raikkonen,2.0,0,16
2020,9,giovinazzi,2.0,0,17
2020,9,kevin_magnussen,1.0,0,18
2020,9,latifi,0.0,0,19
2020,9,russell,0.0,0,20
2020,9,grosjean,0.0,0,21
2020,10,hamilton,205.0,6,1
2020,10,bottas,161.0,2,2
2020,10,max_verstappen,128.0,1,3
2020,10,norris,65.0,0,4
2020,10,albon,64.0,0,5
2020,10,ricciardo,63.0,0,6
2020,10,leclerc,57.0,0,7
2020,10,stroll,57.0,0,8
2020,10,perez,56.0,0,9
2020,10,gasly,45.0,1,10
2020,10,sainz,41.0,0,11
2020,10,ocon,36.0,0,12
2020,10,vettel,17.0,0,13
2020,10,kvyat,14.0,0,14
2020,10,hulkenberg,6.0,0,15
2020,10,raikkonen,2.0,0,16
2020,10,giovinazzi,2.0,0,17
2020,10,kevin_magnussen,1.0,0,18
2020,10,latifi,0.0,0,19
2020,10,russell,0.0,0,20
2020,10,grosjean,0.0,0,21
2020,11,hamilton,230.0,7,1
2020,11,bottas,161.0,2,2
2020,11,max_verstappen,147.0,1,3
2020,11,ricciardo,78.0,0,4
2020,11,perez,68.0,0,5
2020,11,norris,65.0,0,6
2020,11,albon,64.0,0,7
2020,11,leclerc,63.0,0,8
2020,11,stroll,57.0,0,9
2020,11,gasly,53.0,1,10
2020,11,sainz,51.0,0,11
2020,11,ocon,36.0,0,12
2020,11,vettel,17.0,0,13
2020,11,kvyat,14.0,0,14
2020,11,hulkenberg,10.0,0,15
2020,11,giovinazzi,3.0,0,16
2020,11,raikkonen,2.0,0,17
2020,11,grosjean,2.0,0,18
2020,11,kevin_magnussen,1.0,0,19
2020,11,latifi,0.0,0,20
2020,11,russell,0.0,0,21
2020,12,hamilton,256.0,8,1
2020,12,bottas,179.0,2,2
2020,12,max_verstappen,162.0,1,3
2020,12,ricciardo,80.0,0,4
2020,12,leclerc,75.0,0,5
2020,12,perez,74.0,0,6
2020,12,norris,65.0,0,7
2020,12,albon,64.0,0,8
2020,12,gasly,63.0,1,9
2020,12,sainz,59.0,0,10
2020,12,stroll,57.0,0,11
